CiteKey	EntryType	Author	Title	Journal	Month	Year	Key	Note	BookTitle	Volume	Number	Pages	DOI	Editor	Publisher	Address	Series	HowPublished	Type	School	Url
Lee08	phdthesis	{}{Lee}{}{T.}	Computational Geometric Mechanics and Control of Rigid Bodies	NULL	NULL	2008	GM	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	PhD thesis	University of Michigan	NULL
LeeKimPKSASSFC99	inproceedings	{}{Lee}{}{T.},{}{Kim}{}{Youdan}	Robust nonlinear control of flight dynamics using backstepping controller	NULL	November	1999	NF	NULL	Proceedings of the Korean Society for Aeronautical and Space Sciences Fall Conference	NULL	NULL	NULL	NULL	NULL	NULL	Kyoungki, Korea	NULL	NULL	NULL	NULL	NULL
LeeLeoPACC10	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Computational geometric optimal control of connected rigid bodies in a perfect fluid	NULL	June	2010	GO	NULL	Proceedings of the American Control Conference	NULL	NULL	5985--5990	NULL	NULL	NULL	Baltimore, MD	NULL	NULL	NULL	NULL	http://arxib.org/abs/0705.3868
LeeLeoPACC09	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Dynamics of connected rigid bodies in a perfect fluid	NULL	June	2009	GM	NULL	Proceedings of the American Control Conference	NULL	NULL	408--413	NULL	NULL	NULL	St. Louis, MO	NULL	NULL	NULL	NULL	NULL
LeeLeoPACC08	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Time optimal attitude control for a rigid body	NULL	June	2008	GO	NULL	Proceedings of the American Control Conference	NULL	NULL	5210--5215	NULL	NULL	NULL	Seattle, WA	NULL	NULL	NULL	NULL	NULL
LeeKimPICASEC99	inproceedings	{}{Lee}{}{T.},{}{Kim}{}{Youdan}	Nonlinear adaptive control of flight dynamics using backstepping and neural networks controller	NULL	October	1999	NF	NULL	Proceedings of the Institute of Control, Automation, and System Engineering 5th Conference	NULL	NULL	NULL	NULL	NULL	NULL	Yongin, Korea	NULL	NULL	NULL	NULL	NULL
LeeLeoPICDC09	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Dynamics of a 3{D} elastic string pendulum	NULL	December	2009	GM	NULL	Proceedings of IEEE Conference on Decision and Control	NULL	NULL	3347--3352	NULL	NULL	NULL	Shanghai, China	NULL	NULL	NULL	NULL	NULL
LeeKimPACC00	inproceedings	{}{Lee}{}{T.},{}{Kim}{}{Youdan},{}{Kim}{}{Dohyeon}	Stability analysis of nonlinear flight control using neural networks	NULL	July	2000	NF	NULL	Proceedings of the 3rd Asian Control Conference	NULL	NULL	NULL	NULL	NULL	NULL	Shanghai, China	NULL	NULL	NULL	NULL	NULL
LeeLeoPACC07a	inproceedings	{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}}	Optimal attitude control for a rigid body with symmetry	NULL	July	2007	GO	NULL	Proceedings of the American Control Conference	NULL	NULL	1073--1078	NULL	NULL	NULL	New York, NY	NULL	NULL	NULL	NULL	NULL
FahLeePAASCE06	inproceedings	{}{Fahnestock}{}{E.},{}{Lee}{}{T.},{}{Leok}{}{M.},{}{McClamroch}{}{{N. H.}},{}{Scheeres}{}{D.}	Polyhedral potential and variational integrator computation of the full two body problem	NULL	August	2006	GM	AIAA 2006-6289	Proceedings of the AIAA/AAS Astrodynamics Specialist Conference and Exhibit	NULL	NULL	NULL	NULL	NULL	NULL	Keystone, CO	NULL	NULL	NULL	NULL	NULL
AhnLeeJKSASS99	article	{}{Ahn}{}{Jaemyoung},{}{Lee}{}{Taeyoung},{}{Kim}{}{Youdan}	Real time formulation of missile trajectory optimization using a parameter optimization technique	Journal of Korean Society for Aeronautical and Space Sciences	NULL	1999	NF	NULL	NULL	27	4	94--103	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AhnLeePJSASSJ1IS3AS99	inproceedings	{}{Ahn}{}{Jaemyoung},{}{Lee}{}{Taeyoung},{}{Kim}{}{Youdan}	Real-time missile trajectory optimization using parameter optimization	NULL	October	1999	NF	NULL	Proceedings of the Japan Society for Aeronautical and Space Sciences (JSASS) 13th International Sessions in 37th Aircraft Symposium	NULL	NULL	NULL	NULL	NULL	NULL	Tokyo, Japan	NULL	NULL	NULL	NULL	NULL
LeeLeoPICDC07	inproceedings	{}{Lee}{}{Taeyoung},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}}	A combinatorial optimal control problem for spacecraft formation reconfiguration	NULL	December	2007	GO	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	5370--5375	NULL	NULL	NULL	New Orleans, LA	NULL	NULL	NULL	NULL	NULL
LeeLeoPICDC06	inproceedings	{}{Lee}{}{Taeyoung},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}}	Optimal control of a rigid body using geometrically exact computations on {SE(3)}	NULL	December	2006	GO	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	2170--2175	NULL	NULL	NULL	San Diego, CA	NULL	NULL	NULL	NULL	NULL
LeeLeoPACC05	inproceedings	{}{Lee}{}{Taeyoung},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}}	Attitude maneuvers of a rigid spacecraft in a circular orbit	NULL	June	2006	GO	NULL	Proceedings of the American Control Conference	NULL	NULL	1742--1747	NULL	NULL	NULL	Minneapolis, MN	NULL	NULL	NULL	NULL	NULL
LeeLeoPICCA05	inproceedings	{}{Lee}{}{Taeyoung},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}}	A {L}ie group variational integrator for the attitude dynamics of a rigid body with application to the 3{D} pendulum	NULL	August	2005	GM	NULL	Proceedings of the IEEE Conference on Control Application	NULL	NULL	962--967	NULL	NULL	NULL	Toronto, Canada	NULL	NULL	NULL	NULL	NULL
LeeLeoPACC07	inproceedings	{}{Lee}{}{Taeyoung},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}},{}{Sanyal}{}{Amit}	Global attitude estimation using single direction measurements	NULL	July	2007	GE	NULL	Proceedings of the American Control Conference	NULL	NULL	3659--3664	NULL	NULL	NULL	New York, NY	NULL	NULL	NULL	NULL	NULL
LeeChaPICDC07	inproceedings	{}{Lee}{}{Taeyoung},{}{Chaturvedi}{}{Nalin},{}{Sanyal}{}{Amit},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}}	Propagation of uncertainty in rigid body attitude flows	NULL	December	2007	GE	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	2689--2694	NULL	NULL	NULL	New Orleans, LA	NULL	NULL	NULL	NULL	NULL
LeeSanPICDC06	inproceedings	{}{Lee}{}{Taeyoung},{}{Sanyal}{}{Amit},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}}	Deterministic global attitude estimation	NULL	December	2006	GE	NULL	Proceedings of the IEEE Conference on Decision and Control	NULL	NULL	3174--3179	NULL	NULL	NULL	San Diego, CA	NULL	NULL	NULL	NULL	NULL
LeeLeoIAECSS07	incollection	{}{Lee}{}{Taeyoung},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}}	Discrete control systems	NULL	NULL	2009	GO	NULL	the Encyclopedia of Complexity and System Science	NULL	NULL	2002--2019	NULL	NULL	Springer	NULL	NULL	NULL	NULL	NULL	NULL
ChaLeeJNS09	article	{}{Chaturvedi}{}{Nalin},{}{Lee}{}{Taeyoung},{}{Leok}{}{Melvin},{}{McClamroch}{}{{N. H.}}	Nonlinear dynamics of the 3{D} pendulum	Journal of Nonlinear Science	February	2011	GM	NULL	NULL	21	1	3--32	10.1007/s00332-010-9078-6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
